coding,parameter,metric,sensitivity,max,min,mean
rate,rate_scale,test_acc_pct,0.0,75.75757575757575,75.75757575757575,75.75757575757575
rate,rate_scale,mean_latency_t,0.0,0.0113636363636363,0.0113636363636363,0.0113636363636363
rate,rate_scale,mean_spikes_per_sample,0.0,73.29545454545455,73.29545454545455,73.29545454545455
rate,rate_scale,throughput_sps,0.044810603065177645,30.49103806075351,29.14976167824009,29.932120765313414
ttfs,ttfs_alpha,test_acc_pct,0.2889908256880733,63.25757575757576,47.34848484848485,55.05050505050505
ttfs,ttfs_alpha,mean_latency_t,1.7391304347826113,0.0909090909090909,0.0151515151515151,0.04356060606060602
ttfs,ttfs_alpha,mean_spikes_per_sample,0.1764309187638489,62.49242424242424,52.08712121212121,58.97664141414142
ttfs,ttfs_alpha,throughput_sps,0.0877279970578554,30.73514382530455,28.192298656773605,28.98556052583731
phase,phase_period,test_acc_pct,1.1146496815286624,37.121212121212125,8.712121212121213,25.487012987012992
phase,phase_period,mean_latency_t,3.5,0.0227272727272727,0.0,0.006493506493506486
phase,phase_period,mean_spikes_per_sample,0.9806403184135186,86.6969696969697,25.901515151515152,61.995670995671
phase,phase_period,throughput_sps,0.11624662215635355,32.7367716076949,29.0497856190456,31.71693009445249
burst,burst_win,test_acc_pct,0.29560810810810834,70.83333333333334,51.89393939393939,64.06926406926407
burst,burst_win,mean_latency_t,0.5833333333333334,0.7424242424242424,0.3901515151515151,0.6038961038961039
burst,burst_win,mean_spikes_per_sample,0.1198413177265596,38.47727272727273,34.178030303030305,35.874458874458874
burst,burst_win,throughput_sps,0.0855252778993804,31.819733888076573,29.18517591527715,30.804436273202807
