coding,best_val_acc,best_epoch,T,lr,tau,tau_out,hidden_dim,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,rate_scale,ttfs_alpha,phase_period,burst_win
rate,0.7757009345794392,8,30,0.0005,2.0,2.0,256,71.5909090909091,0.0075757575757575,91.29166666666669,28.665719406366748,1.0,,,
ttfs,0.6635514018691588,7,30,0.0005,2.0,2.0,256,62.87878787878788,0.0303030303030303,62.09469696969697,7.357922579720699,,1.0,,
phase,0.4579439252336448,7,10,0.0005,2.0,2.0,256,37.121212121212125,0.0227272727272727,25.901515151515152,30.086336257638376,,,8.0,
burst,0.6915887850467289,6,30,0.0005,2.0,2.0,256,66.28787878787878,0.4356060606060606,35.996212121212125,31.260173946390527,,,,4.0
