n_max,isi,test_acc_pct,mean_latency_t,spikes_per_sample,throughput_sps
1,1,2.127659574468085,31.0,0.45063829787234044,3219.902566124594
1,2,2.3351063829787235,31.0,8.12654255319149,3511.604553347317
1,3,2.1968085106382977,31.0,4.379042553191489,3180.768136989106
1,4,2.127659574468085,31.0,0.47654255319148936,3476.9299433556957
2,1,2.2819148936170213,31.0,53.86808510638298,3054.7835987623257
2,2,2.1968085106382977,31.0,58.115425531914894,3056.9384898483545
2,3,2.2074468085106385,31.0,51.49723404255319,3325.9885286531016
2,4,2.127659574468085,31.0,48.18202127659575,3311.1842208861613
3,1,2.127659574468085,31.0,88.28106382978723,3110.111638427884
3,2,2.143617021276596,31.0,135.24787234042554,3103.583441685784
3,3,2.127659574468085,31.0,97.15452127659574,3132.8660019647527
3,4,2.648936170212766,31.0,95.04170212765958,3142.2816441069017
4,1,2.127659574468085,31.0,62.3193085106383,3003.556605197671
4,2,2.127659574468085,31.0,56.06813829787234,2853.948571467867
4,3,2.888297872340426,31.0,63.315585106382976,2782.418447278066
4,4,3.1436170212765955,24.71505319148936,28.976276595744682,3096.1465885024245
5,1,2.398936170212766,30.998457446808512,145.07425531914893,2281.5821783799133
5,2,2.6861702127659575,30.969840425531913,29.641436170212767,2391.872701869929
5,3,2.127659574468085,19.32851063829787,46.83255319148936,3176.879329622263
5,4,5.425531914893617,14.713670212765958,67.98718085106383,3234.3450545739147
