coding,epoch,train_acc,train_loss,val_acc,val_loss,T,hidden_dim,tau,tau_out,lr,batch_size,seed,rate_scale,ttfs_alpha,ttfs_t_max,phase_period,burst_win,test_acc,test_loss,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,minutes
burst,1,0.2247422680412371,2.210161825553658,0.4392523364485981,1.7736825441645685,30,256,2.0,2.0,0.0005,16,42,,,,,7.0,0.5946969696969697,1.3529703255855676,59.46969696969697,2.6666666666666665,20.03787878787879,29.35594244307008,3.7299869577089946
phase,1,0.1597938144329896,2.351370716586556,0.2149532710280373,2.2686519890188057,10,256,2.0,2.0,0.001,16,42,,,,8.0,,0.3598484848484848,1.906109925472375,35.984848484848484,0.231060606060606,36.15530303030303,27.26548039634141,4.506336696942648
rate,1,0.2,2.502219157857993,0.3551401869158878,2.221974736062166,30,256,2.0,2.0,0.0005,16,42,0.25,,,,,0.6515151515151515,1.3953635475852273,65.15151515151516,5.28030303030303,9.151515151515152,28.85675739171871,4.853309762477875
ttfs,1,0.2845360824742268,2.229581422904103,0.3457943925233644,1.9787925292398327,30,256,2.0,2.0,0.0005,16,42,,0.75,30.0,,,0.5113636363636364,1.5896964867909749,51.13636363636363,0.0492424242424242,80.0340909090909,29.14058449215116,3.7294577956199646
