coding,epoch,train_acc,train_loss,val_acc,val_loss,T,hidden_dim,tau,tau_out,lr,batch_size,seed,rate_scale,ttfs_alpha,ttfs_t_max,phase_period,burst_win,test_acc,test_loss,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,minutes
burst,1,0.1670103092783505,2.50809042257132,0.411214953271028,2.2215649234914334,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,2,0.4443298969072164,1.77755188253737,0.4766355140186916,1.8624919697503064,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,3,0.5216494845360825,1.5038018526490202,0.5607476635514018,1.3452961678816893,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,4,0.5628865979381443,1.281945557446824,0.6074766355140186,1.338466783550298,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,5,0.6,1.2201513939297075,0.5327102803738317,1.2636979929754668,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,6,0.6329896907216495,1.094713115937931,0.6355140186915887,1.0742756746639714,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,7,0.6701030927835051,1.0272784894889162,0.616822429906542,1.180745319228306,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,8,0.6505154639175258,1.0365923793045515,0.6355140186915887,1.1815061574784396,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,9,0.6824742268041237,0.8959781332114308,0.6728971962616822,0.927418694317898,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,10,0.6845360824742268,0.9296955172548588,0.6728971962616822,0.9416852977788336,20,256,2.0,2.0,0.001,16,42,,,,,0,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.288610820643544,3.906329075495402
burst,1,0.1670103092783505,2.50809042257132,0.411214953271028,2.2215649234914334,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,2,0.4443298969072164,1.77755188253737,0.4766355140186916,1.8624919697503064,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,3,0.5216494845360825,1.5038018526490202,0.5607476635514018,1.3452961678816893,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,4,0.5628865979381443,1.281945557446824,0.6074766355140186,1.338466783550298,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,5,0.6,1.2201513939297075,0.5327102803738317,1.2636979929754668,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,6,0.6329896907216495,1.094713115937931,0.6355140186915887,1.0742756746639714,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,7,0.6701030927835051,1.0272784894889162,0.616822429906542,1.180745319228306,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,8,0.6505154639175258,1.0365923793045515,0.6355140186915887,1.1815061574784396,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,9,0.6824742268041237,0.8959781332114308,0.6728971962616822,0.927418694317898,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,10,0.6845360824742268,0.9296955172548588,0.6728971962616822,0.9416852977788336,20,256,2.0,2.0,0.001,16,42,,,,,1,0.5643939393939394,1.3495556043856072,56.439393939393945,4.640151515151516,11.102272727272728,28.193478752222124,3.9041064858436574
burst,1,0.2154639175257732,2.283859578850343,0.2429906542056074,2.072965851453977,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,2,0.2505154639175257,2.075737286842976,0.2710280373831775,1.9447953934981443,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,3,0.322680412371134,1.876134249107125,0.3551401869158878,1.7522265755127524,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,4,0.3670103092783505,1.7869310204515751,0.4392523364485981,1.7513243372195235,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,5,0.3855670103092783,1.73319402699618,0.411214953271028,1.6511315887219438,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,6,0.3979381443298969,1.635399968107951,0.4485981308411215,1.5868992850045178,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,7,0.4402061855670103,1.5703651713341782,0.4579439252336448,1.5545236239923494,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,8,0.4556701030927835,1.5440878990999205,0.4205607476635514,1.5846934118003488,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,9,0.4391752577319587,1.5627574033343914,0.411214953271028,1.6032861003251833,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,10,0.4494845360824742,1.5498993099350291,0.4018691588785046,1.5637777119039376,20,256,2.0,2.0,0.001,16,42,,,,,2,0.428030303030303,1.6072124567898838,42.80303030303031,0.4356060606060606,41.91287878787879,28.180612146656035,3.813020141919454
burst,1,0.2082474226804123,2.2254233785511293,0.3177570093457944,1.885212391336388,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,2,0.3412371134020618,1.8081301576083468,0.3457943925233644,1.6490379427080957,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,3,0.379381443298969,1.6284506198057194,0.4579439252336448,1.5578495420028116,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,4,0.4041237113402062,1.5603987506984436,0.4953271028037383,1.4435532839498788,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,5,0.4391752577319587,1.5068207045191342,0.3831775700934579,1.50355373030511,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,6,0.4432989690721649,1.3984328422349752,0.4205607476635514,1.3633461143368872,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,7,0.4855670103092783,1.314089972579602,0.4672897196261682,1.349178864577106,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,8,0.4556701030927835,1.34406929089851,0.4299065420560747,1.3337814975007671,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,9,0.4896907216494845,1.31326173802012,0.4299065420560747,1.4064346852703629,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,10,0.4896907216494845,1.2968993968570357,0.4766355140186916,1.323038256056955,20,256,2.0,2.0,0.001,16,42,,,,,3,0.4469696969696969,1.5714809677817605,44.696969696969695,1.1477272727272727,23.78030303030303,28.21378769889985,3.820148273309072
burst,1,0.2072164948453608,2.2050445455865764,0.4299065420560747,1.7903157394623088,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,2,0.3536082474226804,1.7276794782618887,0.411214953271028,1.5937084672606994,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,3,0.4020618556701031,1.5483183093906678,0.4766355140186916,1.5013176893519464,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,4,0.4742268041237113,1.4436509503531705,0.5607476635514018,1.408222573939885,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,5,0.5051546391752577,1.3839014525266038,0.4299065420560747,1.439408350213666,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,6,0.5247422680412371,1.247991179682545,0.4485981308411215,1.309517087223374,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,7,0.5494845360824743,1.207435221770375,0.5327102803738317,1.306670281374566,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,8,0.5587628865979382,1.1635068795115675,0.4953271028037383,1.2620186705455605,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,9,0.5350515463917526,1.179988668874367,0.5794392523364486,1.2747730852287509,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,10,0.5649484536082474,1.1656873039363589,0.5514018691588785,1.2212113353693597,20,256,2.0,2.0,0.001,16,42,,,,,4,0.5227272727272727,1.3310737718235364,52.27272727272727,0.7121212121212122,30.931818181818183,28.012690021700863,3.8276253302892047
burst,1,0.2257731958762886,2.1581070848346986,0.4392523364485981,1.6458644198480052,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,2,0.4206185567010309,1.5738904395054296,0.4392523364485981,1.5421987025537225,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,3,0.465979381443299,1.4770960028638545,0.5607476635514018,1.3798828292115826,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,4,0.5092783505154639,1.34333147216089,0.5420560747663551,1.2575420430887525,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,5,0.5432989690721649,1.2663784867709444,0.5514018691588785,1.2291466170382277,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,6,0.545360824742268,1.119570013419869,0.5420560747663551,1.1499030545493152,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,7,0.5649484536082474,1.0584757974467327,0.4953271028037383,1.1560394986767637,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,8,0.5577319587628866,1.0400977210900215,0.4953271028037383,1.1078715959441996,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,9,0.5876288659793815,0.9879280456562632,0.5794392523364486,0.980034728473592,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,10,0.6103092783505155,0.943045786729793,0.5700934579439252,0.9829879681640696,20,256,2.0,2.0,0.001,16,42,,,,,6,0.553030303030303,1.2035574335040469,55.3030303030303,0.9318181818181818,27.57575757575757,28.17581134677068,3.818028084437053
burst,1,0.2134020618556701,2.269140184785902,0.3177570093457944,2.1041786692966924,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,2,0.3989690721649485,1.8091374942936849,0.4859813084112149,1.739202557323135,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,3,0.4577319587628866,1.561898098778479,0.5420560747663551,1.3661063330195775,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,4,0.5432989690721649,1.3286165650357906,0.6074766355140186,1.2558635813053525,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,5,0.565979381443299,1.1745335605955616,0.5420560747663551,1.28409893546149,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,6,0.5835051546391753,1.0658149618463415,0.5607476635514018,1.0404513884927624,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,7,0.6268041237113402,0.9995014901013718,0.5700934579439252,1.1211833357810974,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,8,0.6154639175257732,0.969938993085291,0.6542056074766355,0.9215566616192042,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,9,0.6422680412371135,0.8814090389566324,0.6542056074766355,0.9543953014311388,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
burst,10,0.6175257731958763,0.920012264153392,0.5327102803738317,1.0120621953055122,20,256,2.0,2.0,0.001,16,42,,,,,8,0.571969696969697,1.097771760189172,57.1969696969697,1.181818181818182,22.25,26.46195206272008,3.835979974269867
