coding,best_epoch,best_val_acc,best_val_loss,test_acc,test_loss,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,minutes,T,lr,tau,tau_out,hidden_dim,batch_size,seed,rate_scale,ttfs_alpha,ttfs_t_max,phase_period,burst_win
phase,7,0.45794392523364486,1.6278331847948448,0.3712121212121212,1.793631658409581,37.121212121212125,0.022727272727272728,25.901515151515152,30.086336257638376,3.593939201037089,10,0.0005,2.0,2.0,256,16,42,,,,8,
phase,6,0.4392523364485981,1.6183165044428032,0.4166666666666667,1.6921812837774104,41.66666666666667,0.022727272727272728,26.50378787878788,30.571212488535757,3.566837823390961,10,0.001,2.0,2.0,256,16,42,,,,8,
phase,10,0.4392523364485981,2.1403587532934742,0.32954545454545453,2.3140765970403496,32.95454545454545,0.6287878787878788,32.47348484848485,29.487365647686065,3.608356579144796,20,0.002,2.0,2.0,256,16,42,,,,8,
phase,9,0.40186915887850466,1.6157433329341568,0.3712121212121212,1.8389611677689985,37.121212121212125,0.08712121212121213,22.34469696969697,30.589604985561675,3.556710437933604,10,0.002,2.0,2.0,256,16,42,,,,8,
phase,9,0.3925233644859813,2.123100630590849,0.30303030303030304,2.245488658095851,30.303030303030305,0.003787878787878788,61.890151515151516,29.967577261360134,3.6309494177500405,20,0.0005,2.0,2.0,256,16,42,,,,8,
phase,9,0.3925233644859813,2.20346424512774,0.2878787878787879,2.3738612911917945,28.78787878787879,0.0,203.66666666666666,29.739419601021496,3.6470341722170514,30,0.001,2.0,2.0,256,16,42,,,,8,
phase,5,0.35514018691588783,2.1531523343558625,0.26136363636363635,2.242654496973211,26.136363636363637,0.0,75.51136363636364,29.783412452542528,4.070992052555084,20,0.001,2.0,2.0,256,16,42,,,,8,
phase,6,0.308411214953271,2.2977076289809752,0.25757575757575757,2.3820318272619536,25.757575757575758,0.0,245.5,29.663216635117415,3.6562196214993796,30,0.0005,2.0,2.0,256,16,42,,,,8,
phase,1,0.24299065420560748,2.376487981493228,0.1590909090909091,2.446953462831902,15.909090909090908,0.0,163.56060606060606,29.736586768084535,3.645244324207306,30,0.002,2.0,2.0,256,16,42,,,,8,
